x, y, vx, vy
-86.4249, 114.564, -6.08433, -6.08433
-86.4554, 114.604, -6.08434, -6.08434
-86.4858, 114.645, -6.08436, -6.08436
-86.5162, 114.686, -6.08437, -6.08437
-86.5466, 114.726, -6.08439, -6.08439
-86.577, 114.767, -6.0844, -6.0844
-86.6074, 114.807, -6.08442, -6.08442
-86.6379, 114.848, -6.08443, -6.08443
-86.6683, 114.889, -6.08445, -6.08445
-86.6987, 114.929, -6.08446, -6.08446
-86.7291, 114.97, -6.08447, -6.08447
-86.7596, 115.011, -6.08449, -6.08449
-86.79, 115.051, -6.0845, -6.0845
-86.8204, 115.092, -6.08452, -6.08452
-86.8508, 115.132, -6.08453, -6.08453
-86.8813, 115.173, -6.08455, -6.08455
-86.9117, 115.214, -6.08456, -6.08456
-86.9421, 115.254, -6.08457, -6.08457
-86.9725, 115.295, -6.08459, -6.08459
-87.003, 115.335, -6.0846, -6.0846
-87.0334, 115.376, -6.08462, -6.08462
-87.0638, 115.417, -6.08463, -6.08463
-87.0942, 115.457, -6.08465, -6.08465
-87.1247, 115.498, -6.08466, -6.08466
-87.1551, 115.538, -6.08467, -6.08467
-87.1855, 115.579, -6.08469, -6.08469
-87.216, 115.62, -6.0847, -6.0847
-87.2464, 115.66, -6.08472, -6.08472
-87.2768, 115.701, -6.08473, -6.08473
-87.3072, 115.742, -6.08475, -6.08475
-87.3377, 115.782, -6.08476, -6.08476
-87.3681, 115.823, -6.08477, -6.08477
-87.3985, 115.863, -6.08479, -6.08479
-87.4289, 115.904, -6.0848, -6.0848
-87.4594, 115.945, -6.08482, -6.08482
