x, y, vx, vy
101.23, 78.9026, 8.05517, 8.05517
101.27, 78.9326, 8.0552, 8.0552
101.31, 78.9625, 8.05522, 8.05522
101.351, 78.9924, 8.05524, 8.05524
101.391, 79.0223, 8.05527, 8.05527
101.431, 79.0523, 8.05529, 8.05529
101.471, 79.0822, 8.05532, 8.05532
101.512, 79.1121, 8.05534, 8.05534
101.552, 79.142, 8.05536, 8.05536
101.592, 79.172, 8.05539, 8.05539
101.633, 79.2019, 8.05541, 8.05541
101.673, 79.2318, 8.05543, 8.05543
101.713, 79.2617, 8.05546, 8.05546
101.753, 79.2916, 8.05548, 8.05548
101.794, 79.3216, 8.05551, 8.05551
101.834, 79.3515, 8.05553, 8.05553
101.874, 79.3814, 8.05555, 8.05555
101.914, 79.4113, 8.05558, 8.05558
101.955, 79.4413, 8.0556, 8.0556
101.995, 79.4712, 8.05562, 8.05562
102.035, 79.5011, 8.05565, 8.05565
102.076, 79.531, 8.05567, 8.05567
102.116, 79.5609, 8.0557, 8.0557
102.156, 79.5909, 8.05572, 8.05572
102.196, 79.6208, 8.05574, 8.05574
102.237, 79.6507, 8.05577, 8.05577
102.277, 79.6806, 8.05579, 8.05579
102.317, 79.7106, 8.05582, 8.05582
102.358, 79.7405, 8.05584, 8.05584
102.398, 79.7704, 8.05586, 8.05586
102.438, 79.8003, 8.05589, 8.05589
102.478, 79.8302, 8.05591, 8.05591
102.519, 79.8602, 8.05593, 8.05593
102.559, 79.8901, 8.05596, 8.05596
102.599, 79.92, 8.05598, 8.05598
102.639, 79.9499, 8.056, 8.056
102.68, 79.9799, 8.05603, 8.05603
102.72, 80.0098, 8.05605, 8.05605
102.76, 80.0397, 8.05607, 8.05607
102.801, 80.0696, 8.0561, 8.0561
102.841, 80.0995, 8.05612, 8.05612
102.881, 80.1295, 8.05614, 8.05614
102.921, 80.1594, 8.05616, 8.05616
102.962, 80.1893, 8.05619, 8.05619
103.002, 80.2192, 8.05621, 8.05621
103.042, 80.2492, 8.05623, 8.05623
103.083, 80.2791, 8.05626, 8.05626
103.123, 80.309, 8.05628, 8.05628
103.163, 80.3389, 8.0563, 8.0563
103.203, 80.3689, 8.05632, 8.05632
103.244, 80.3988, 8.05635, 8.05635
103.284, 80.4287, 8.05637, 8.05637
103.324, 80.4586, 8.05639, 8.05639
103.365, 80.4885, 8.05642, 8.05642
103.405, 80.5185, 8.05644, 8.05644
103.445, 80.5484, 8.05646, 8.05646
103.485, 80.5783, 8.05648, 8.05648
103.526, 80.6082, 8.05651, 8.05651
103.566, 80.6382, 8.05653, 8.05653
103.606, 80.6681, 8.05655, 8.05655
103.647, 80.698, 8.05658, 8.05658
103.687, 80.7279, 8.0566, 8.0566
103.727, 80.7578, 8.05662, 8.05662
103.767, 80.7878, 8.05664, 8.05664
103.808, 80.8177, 8.05667, 8.05667
103.848, 80.8476, 8.05669, 8.05669
103.888, 80.8776, 8.05671, 8.05671
103.929, 80.9075, 8.05674, 8.05674
103.969, 80.9374, 8.05676, 8.05676
104.009, 80.9673, 8.05678, 8.05678
104.049, 80.9973, 8.0568, 8.0568
104.09, 81.0272, 8.05683, 8.05683
104.13, 81.0571, 8.05685, 8.05685
104.17, 81.0871, 8.05687, 8.05687
104.211, 81.117, 8.0569, 8.0569
104.251, 81.1469, 8.05692, 8.05692
104.291, 81.1769, 8.05694, 8.05694
104.331, 81.2068, 8.05696, 8.05696
104.372, 81.2367, 8.05699, 8.05699
104.412, 81.2666, 8.05701, 8.05701
104.452, 81.2966, 8.05703, 8.05703
104.493, 81.3265, 8.05706, 8.05706
104.533, 81.3564, 8.05708, 8.05708
104.573, 81.3864, 8.0571, 8.0571
104.613, 81.4163, 8.05713, 8.05713
104.654, 81.4462, 8.05715, 8.05715
104.694, 81.4762, 8.05717, 8.05717
104.734, 81.5061, 8.05719, 8.05719
104.775, 81.536, 8.05722, 8.05722
104.815, 81.5659, 8.05724, 8.05724
104.855, 81.5959, 8.05726, 8.05726
104.895, 81.6258, 8.05728, 8.05728
104.936, 81.6557, 8.0573, 8.0573
104.976, 81.6857, 8.05733, 8.05733
105.016, 81.7156, 8.05735, 8.05735
105.056, 81.7455, 8.05737, 8.05737
105.097, 81.7755, 8.05739, 8.05739
105.137, 81.8054, 8.05741, 8.05741
105.177, 81.8353, 8.05744, 8.05744
105.218, 81.8652, 8.05746, 8.05746
105.258, 81.8952, 8.05748, 8.05748
105.298, 81.9251, 8.0575, 8.0575
105.339, 81.955, 8.05752, 8.05752
105.379, 81.985, 8.05754, 8.05754
105.419, 82.0149, 8.05757, 8.05757
105.459, 82.0448, 8.05759, 8.05759
105.5, 82.0748, 8.05761, 8.05761
105.54, 82.1047, 8.05763, 8.05763
105.58, 82.1346, 8.05765, 8.05765
105.621, 82.1646, 8.05768, 8.05768
105.661, 82.1945, 8.0577, 8.0577
105.701, 82.2244, 8.05772, 8.05772
105.741, 82.2543, 8.05774, 8.05774
105.782, 82.2843, 8.05776, 8.05776
105.822, 82.3142, 8.05779, 8.05779
105.862, 82.3441, 8.05781, 8.05781
105.903, 82.3741, 8.05783, 8.05783
105.943, 82.404, 8.05785, 8.05785
105.983, 82.4339, 8.05787, 8.05787
106.023, 82.4639, 8.0579, 8.0579
106.064, 82.4938, 8.05792, 8.05792
106.104, 82.5237, 8.05794, 8.05794
106.144, 82.5536, 8.05796, 8.05796
106.185, 82.5836, 8.05798, 8.05798
106.225, 82.6135, 8.05801, 8.05801
106.265, 82.6434, 8.05803, 8.05803
106.305, 82.6734, 8.05805, 8.05805
106.346, 82.7033, 8.05807, 8.05807
106.386, 82.7332, 8.05809, 8.05809
106.426, 82.7632, 8.05812, 8.05812
106.467, 82.7931, 8.05814, 8.05814
106.507, 82.823, 8.05816, 8.05816
106.547, 82.8529, 8.05818, 8.05818
106.588, 82.8829, 8.0582, 8.0582
106.628, 82.9128, 8.05822, 8.05822
106.668, 82.9427, 8.05825, 8.05825
106.708, 82.9727, 8.05827, 8.05827
106.749, 83.0026, 8.05829, 8.05829
106.789, 83.0325, 8.05831, 8.05831
106.829, 83.0625, 8.05833, 8.05833
106.87, 83.0924, 8.05836, 8.05836
106.91, 83.1223, 8.05838, 8.05838
106.95, 83.1522, 8.0584, 8.0584
106.99, 83.1822, 8.05842, 8.05842
107.031, 83.2121, 8.05844, 8.05844
107.071, 83.242, 8.05847, 8.05847
107.111, 83.272, 8.05849, 8.05849
107.152, 83.3019, 8.05851, 8.05851
107.192, 83.3318, 8.05853, 8.05853
107.232, 83.3618, 8.05855, 8.05855
107.272, 83.3917, 8.05857, 8.05857
107.313, 83.4216, 8.05859, 8.05859
107.353, 83.4516, 8.05861, 8.05861
107.393, 83.4815, 8.05863, 8.05863
107.434, 83.5114, 8.05866, 8.05866
107.474, 83.5414, 8.05868, 8.05868
107.514, 83.5713, 8.0587, 8.0587
107.555, 83.6012, 8.05872, 8.05872
107.595, 83.6312, 8.05874, 8.05874
107.635, 83.6611, 8.05876, 8.05876
107.675, 83.6911, 8.05878, 8.05878
107.716, 83.721, 8.0588, 8.0588
107.756, 83.7509, 8.05882, 8.05882
107.796, 83.7809, 8.05884, 8.05884
107.837, 83.8108, 8.05887, 8.05887
107.877, 83.8407, 8.05889, 8.05889
107.917, 83.8707, 8.05891, 8.05891
107.957, 83.9006, 8.05893, 8.05893
107.998, 83.9306, 8.05895, 8.05895
108.038, 83.9605, 8.05897, 8.05897
108.078, 83.9904, 8.05899, 8.05899
108.119, 84.0204, 8.05901, 8.05901
108.159, 84.0503, 8.05903, 8.05903
108.199, 84.0802, 8.05905, 8.05905
108.239, 84.1102, 8.05908, 8.05908
108.28, 84.1401, 8.0591, 8.0591
108.32, 84.1701, 8.05912, 8.05912
108.36, 84.2, 8.05914, 8.05914
108.401, 84.2299, 8.05916, 8.05916
108.441, 84.2599, 8.05918, 8.05918
108.481, 84.2898, 8.0592, 8.0592
108.522, 84.3197, 8.05922, 8.05922
108.562, 84.3497, 8.05924, 8.05924
108.602, 84.3796, 8.05926, 8.05926
108.642, 84.4096, 8.05929, 8.05929
108.683, 84.4395, 8.05931, 8.05931
108.723, 84.4694, 8.05933, 8.05933
108.763, 84.4994, 8.05935, 8.05935
108.804, 84.5293, 8.05937, 8.05937
108.844, 84.5592, 8.05939, 8.05939
108.884, 84.5892, 8.05941, 8.05941
108.925, 84.6191, 8.05943, 8.05943
108.965, 84.6491, 8.05945, 8.05945
109.005, 84.679, 8.05947, 8.05947
109.045, 84.7089, 8.05949, 8.05949
109.086, 84.7389, 8.05952, 8.05952
